,Rok,Tyg,Dust,7Be,137Cs,210Pb,40K,22Na,134Cs
2010-01-31,2010.0,2.5,,,,,,,
2010-02-28,2010.0,6.5,,,,,,,
2010-03-31,2010.0,11.0,,,,,,,
2010-04-30,2010.0,15.5,,,,,,,
2010-05-31,2010.0,20.0,,,,,,,
2010-06-30,2010.0,24.5,,,,,,,
2010-07-31,2010.0,28.5,,,,,,,
2010-08-31,2010.0,33.0,32.0,958.6666666666666,0.5233333333333333,61.23333333333333,4.713333333333333,5.576666666666667,
2010-09-30,2010.0,37.5,33.25,895.0,0.41474999999999995,53.475,4.853333333333333,3.5825,
2010-10-31,2010.0,41.5,26.25,750.5,0.43174999999999997,44.6,3.31,4.9775,
2010-11-30,2010.0,46.0,27.4,570.4,0.2704,34.28000000000001,3.0540000000000003,3.816,
2010-12-31,2010.0,50.5,55.75,488.0,0.27875,29.575,2.9875,1.59,
2011-01-31,2011.0,3.0,28.8,563.2,0.3468,32.12,2.9240000000000004,2.554,
2011-02-28,2011.0,7.5,16.75,679.0,0.2915,33.65,4.1975,3.4974999999999996,
2011-03-31,2011.0,11.5,42.5,956.5,0.42625,41.325,4.8625,4.8075,
2011-04-30,2011.0,15.5,52.5,831.5,0.3725,44.974999999999994,4.2875,4.4525,
2011-05-31,2011.0,20.0,55.6,1186.8,0.47119999999999995,58.82000000000001,5.386,6.574,
2011-06-30,2011.0,24.5,23.5,1324.5,0.4655,70.25,7.0625,6.03,
2011-07-31,2011.0,28.5,33.0,1165.0,0.5327500000000001,43.349999999999994,6.047499999999999,5.955,
2011-08-31,2011.0,33.0,21.0,871.2,0.6554,47.839999999999996,6.858,5.369999999999999,
2011-09-30,2011.0,37.5,56.75,1196.5,0.44625,58.925,3.9699999999999998,5.375,
2011-10-31,2011.0,42.0,21.2,963.2,0.35819999999999996,38.64,3.2,4.044,
2011-11-30,2011.0,46.5,16.5,609.5,0.41675000000000006,34.2,2.59,3.1075,
2011-12-31,2011.0,50.5,43.0,586.0,0.24525000000000002,27.65,2.675,3.08,
2012-01-31,2012.0,3.0,47.0,532.8,0.31500000000000006,27.98,2.1719999999999997,3.02,
2012-02-29,2012.0,7.5,20.5,857.0,0.36825,39.35,4.205,3.3575,
2012-03-31,2012.0,11.5,28.0,1047.0,0.391,53.125,4.8875,4.9625,
2012-04-30,2012.0,16.0,31.8,1014.5,0.4742,44.540000000000006,4.884,5.93,
2012-05-31,2012.0,20.5,39.75,1283.5,0.53225,57.975,5.43,5.3175,
2012-06-30,2012.0,24.5,62.75,1538.5,0.73125,65.3,6.15,8.065000000000001,
2012-07-31,2012.0,29.0,41.4,1029.2,0.6292,80.72,4.6240000000000006,6.866,
2012-08-31,2012.0,33.5,36.5,872.5,0.491,57.724999999999994,5.700000000000001,6.2425,
2012-09-30,2012.0,37.5,7.75,706.6666666666666,0.5725,59.1,5.6025,4.13,
2012-10-31,2012.0,42.0,31.4,703.6,0.4158000000000001,44.04,2.4960000000000004,4.044,
2012-11-30,2012.0,46.5,21.75,788.5,0.235,29.925,3.66,2.7775000000000003,
2012-12-31,2012.2,40.6,37.6,395.6,0.2698,28.6,2.534,2.59,
2013-01-31,2013.0,3.5,21.25,564.5,0.298,28.9,2.51,3.6624999999999996,424.0
2013-02-28,2013.0,7.5,22.75,660.5,0.406,32.975,3.8925,3.165,450.0
2013-03-31,2013.0,11.5,39.333333333333336,818.0,0.45799999999999996,33.5,3.42,3.856666666666667,
2013-04-30,2013.0,16.0,,,,,,,
2013-05-31,2013.0,20.5,,,,,,,
2013-06-30,2013.0,24.5,62.0,1728.0,0.2,91.7,4.71,5.88,
2013-07-31,2013.0,29.0,49.2,1033.6,0.502,71.96,4.342,5.525999999999999,
2013-08-31,2013.0,33.5,43.5,798.5,0.6603333333333333,62.0,5.359999999999999,4.875,518.6666666666666
2013-09-30,2013.0,38.0,30.4,856.4,0.42300000000000004,46.62,5.478000000000001,4.27,436.0
2013-10-31,2013.0,42.5,51.666666666666664,653.5,0.43174999999999997,22.75,2.5625,4.073333333333333,
2013-11-30,2013.0,46.5,26.75,578.0,0.3007500000000001,31.233333333333334,3.313333333333334,2.9766666666666666,
2013-12-31,2013.2,40.6,36.4,516.8,0.2906000000000001,30.32,3.0300000000000002,2.806,
2014-01-31,2014.0,3.5,28.5,577.5,0.28275,38.224999999999994,2.7775000000000003,2.7424999999999997,
2014-02-28,2014.0,7.5,19.75,720.5,0.25733333333333336,34.675,3.3175,3.175,
2014-03-31,2014.0,12.0,27.2,921.2,0.43520000000000003,34.14,4.029999999999999,4.300000000000001,
2014-04-30,2014.0,16.5,33.25,1088.5,0.6712500000000001,53.8,5.0775,5.165,349.75
2014-05-31,2014.0,20.5,48.75,1094.0,0.7333333333333334,51.05,5.842499999999999,5.8725,
2014-06-30,2014.0,25.0,27.2,1014.0,0.5808,70.47999999999999,6.414,6.3500000000000005,
2014-07-31,2014.0,29.5,11.0,1444.0,0.401,52.1,6.4,6.0,
2014-08-31,2014.0,33.5,,,,,,,
2014-09-30,2014.0,38.0,,,,,,,
2014-10-31,2014.0,42.5,,,,,,,
2014-11-30,2014.0,46.5,,,,,,,
2014-12-31,2014.0,50.5,,,,,,,
